,Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
0,3D PRINTING IN MEDICINE,3D PRINT MED,,2365-6271,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI",570,,,1.0,100%
1,AAPS JOURNAL,AAPS J,1550-7416,1550-7416,PHARMACOLOGY & PHARMACY - SCIE,"8,036",3.603,Q2,0.92,23.56%
2,AAPS PHARMSCITECH,AAPS PHARMSCITECH,1530-9932,1530-9932,PHARMACOLOGY & PHARMACY - SCIE,"11,935",4.026,Q2,0.95,8.79%
3,AATCC REVIEW,AATCC REV,1532-8813,1532-8813,"CHEMISTRY, APPLIED - SCIE",177,0.778,Q4,0.03,0%
4,ABDOMINAL RADIOLOGY,ABDOM RADIOL,2366-004X,2366-0058,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","5,822",2.886,Q3,0.74,7.24%
5,ACADEMIC RADIOLOGY,ACAD RADIOL,1076-6332,1878-4046,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","9,138",5.482,Q1,1.09,4.62%
6,ACCIDENT ANALYSIS AND PREVENTION,ACCIDENT ANAL PREV,0001-4575,1879-2057,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","30,168",6.376,Q1,2.09,7.56%
7,ACCION PSICOLOGICA,ACCION PSICOL,1578-908X,2255-1271,"PSYCHOLOGY, MULTIDISCIPLINARY - ESCI",185,,,0.09,98.21%
8,ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,0001-4842,1520-4898,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","87,364",24.466,Q1,1.38,9.97%
10,ACCOUNTS OF MATERIALS RESEARCH,ACCOUNTS MATER RES,,2643-6728,"CHEMISTRY, MULTIDISCIPLINARY - ESCI",531,,,1.63,3.31%
12,ACM COMMUNICATIONS IN COMPUTER ALGEBRA,ACM COMMUN COMPUT AL,1932-2232,1932-2240,"MATHEMATICS, APPLIED - ESCI",64,,,0.09,0%
13,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,ACM J EMERG TECH COM,1550-4832,1550-4840,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",797,2.013,Q3,0.37,0.73%
15,ACM TRANSACTIONS ON ALGORITHMS,ACM T ALGORITHMS,1549-6325,1549-6333,"MATHEMATICS, APPLIED - SCIE","1,023",1.113,Q3,0.47,0.70%
16,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,0098-3500,1557-7295,"MATHEMATICS, APPLIED - SCIE","4,865",2.464,Q1,0.9,0.82%
17,ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,ACM T MODEL COMPUT S,1049-3301,1558-1195,"MATHEMATICS, APPLIED - SCIE",743,0.851,Q4,0.49,0%
18,ACS APPLIED BIO MATERIALS,ACS APPL BIO MATER,2576-6422,2576-6422,NANOSCIENCE & NANOTECHNOLOGY - ESCI,"8,347",,,0.56,5.29%
19,ACS APPLIED ELECTRONIC MATERIALS,ACS APPL ELECTRON MA,,2637-6113,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","4,185",4.494,Q2,0.9,6.52%
20,ACS APPLIED ENERGY MATERIALS,ACS APPL ENERG MATER,2574-0962,,"CHEMISTRY, PHYSICAL - SCIE","24,312",6.959,Q2,0.98,5.61%
21,ACS APPLIED MATERIALS & INTERFACES,ACS APPL MATER INTER,1944-8244,1944-8252,NANOSCIENCE & NANOTECHNOLOGY - SCIE,"345,640",10.383,Q1,1.49,4.65%
22,ACS APPLIED NANO MATERIALS,ACS APPL NANO MATER,,2574-0970,NANOSCIENCE & NANOTECHNOLOGY - SCIE,"19,177",6.14,Q2,0.85,5.35%
23,ACS CATALYSIS,ACS CATAL,2155-5435,2155-5435,"CHEMISTRY, PHYSICAL - SCIE","114,100",13.7,Q1,1.79,10.87%
24,ACS CENTRAL SCIENCE,ACS CENTRAL SCI,2374-7943,2374-7951,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","16,220",18.728,Q1,2.9,96.32%
26,ACS CHEMICAL BIOLOGY,ACS CHEM BIOL,1554-8929,1554-8937,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"17,285",4.634,Q2,0.85,14.62%
27,ACS CHEMICAL HEALTH & SAFETY,ACS CHEM HEALTH SAFE,,1878-0504,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",132,,,0.61,12%
28,ACS CHEMICAL NEUROSCIENCE,ACS CHEM NEUROSCI,1948-7193,1948-7193,"CHEMISTRY, MEDICINAL - SCIE","12,168",5.78,Q1,1.01,7.49%
31,ACS COMBINATORIAL SCIENCE,ACS COMB SCI,2156-8952,2156-8944,"CHEMISTRY, APPLIED - SCIE; CHEMISTRY, MEDICINAL - SCIE; CHEMISTRY, MULTIDISCIPLINARY - SCIE","2,504",3.903,Q2,0.75,10.80%
33,ACS EARTH AND SPACE CHEMISTRY,ACS EARTH SPACE CHEM,2472-3452,2472-3452,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","2,751",3.556,Q2,0.78,9.47%
35,ACS ENERGY LETTERS,ACS ENERGY LETT,2380-8195,2380-8195,NANOSCIENCE & NANOTECHNOLOGY - SCIE,"42,884",23.991,Q1,3.27,11.69%
37,ACS INFECTIOUS DISEASES,ACS INFECT DIS,2373-8227,,"CHEMISTRY, MEDICINAL - SCIE","5,660",5.578,Q1,1.26,17.46%
38,ACS MEDICINAL CHEMISTRY LETTERS,ACS MED CHEM LETT,1948-5875,,"CHEMISTRY, MEDICINAL - SCIE","9,499",4.632,Q2,1.3,9.70%
39,ACS NANO,ACS NANO,1936-0851,1936-086X,"CHEMISTRY, MULTIDISCIPLINARY - SCIE; NANOSCIENCE & NANOTECHNOLOGY - SCIE","224,439",18.027,Q1,2.51,10.64%
41,ACS OMEGA,ACS OMEGA,2470-1343,2470-1343,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","41,528",4.132,Q2,0.63,96.19%
43,ACS PHARMACOLOGY & TRANSLATIONAL SCIENCE,ACS PHARMACOL TRANSL,,2575-9108,PHARMACOLOGY & PHARMACY - ESCI,"1,366",,,1.3,13.86%
45,ACS PHOTONICS,ACS PHOTONICS,2330-4022,,NANOSCIENCE & NANOTECHNOLOGY - SCIE,"20,030",7.077,Q2,1.47,14.90%
46,ACS SENSORS,ACS SENSORS,2379-3694,2379-3694,"CHEMISTRY, MULTIDISCIPLINARY - SCIE; NANOSCIENCE & NANOTECHNOLOGY - SCIE","16,180",9.618,Q1,1.38,9.69%
48,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,ACS SUSTAIN CHEM ENG,2168-0485,2168-0485,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","85,989",9.224,Q1,1.45,6.85%
50,ACTA ALIMENTARIA,ACTA ALIMENT HUNG,0139-3006,1588-2535,NUTRITION & DIETETICS - SCIE,856,1.0,Q4,0.19,37.43%
51,ACTA APPLICANDAE MATHEMATICAE,ACTA APPL MATH,0167-8019,1572-9036,"MATHEMATICS, APPLIED - SCIE","2,086",1.563,Q2,0.69,8.76%
52,ACTA BIOCHIMICA ET BIOPHYSICA SINICA,ACTA BIOCH BIOPH SIN,1672-9145,1745-7270,BIOPHYSICS - SCIE,"5,506",3.511,Q2,0.65,3.97%
55,ACTA BIOCHIMICA POLONICA,ACTA BIOCHIM POL,0001-527X,1734-154X,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"3,610",2.349,Q4,0.31,96.75%
57,ACTA BIOMATERIALIA,ACTA BIOMATER,1742-7061,1878-7568,"ENGINEERING, BIOMEDICAL - SCIE","58,946",10.633,Q1,1.72,11.76%
58,ACTA BIOQUIMICA CLINICA LATINOAMERICANA,ACTA BIOQUIM CLIN L,0325-2957,1851-6114,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,27,0.128,Q4,,
59,ACTA BIOTHEORETICA,ACTA BIOTHEOR,0001-5342,1572-8358,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,748,1.185,Q4,0.33,14.67%
60,ACTA CHEMICA IASI,ACTA CHEM IASI,2067-2438,2067-2446,"CHEMISTRY, MULTIDISCIPLINARY - ESCI",95,,,0.12,96%
62,ACTA CHEMICA SCANDINAVICA,ACTA CHEM SCAND,0904-213X,,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"4,352",1.257,Q3,,
63,ACTA CHIMICA SINICA,ACTA CHIM SINICA,0567-7351,,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","2,569",2.789,Q3,0.33,0.23%
65,ACTA CHIMICA SLOVACA,ACTA CHIM SLOVACA,1337-978X,1339-3065,"CHEMISTRY, MULTIDISCIPLINARY - ESCI",253,,,0.11,100%
67,ACTA CHIMICA SLOVENICA,ACTA CHIM SLOV,1318-0207,1580-3155,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","2,011",1.524,Q4,0.25,99.72%
69,ACTA COLOMBIANA DE PSICOLOGIA,ACTA COLOMB PSICOL,0123-9155,1909-9711,"PSYCHOLOGY, CLINICAL - ESCI",236,,,0.19,100%
70,ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,ACTA CRYSTALLOGR A,2053-2733,2053-2733,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","12,907",2.331,Q3,0.64,35.98%
72,ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS,ACTA CRYSTALLOGR B,,2052-5206,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","13,365",2.684,Q3,0.73,17.12%
74,ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,ACTA CRYSTALLOGR C,2053-2296,2053-2296,"CHEMISTRY, MULTIDISCIPLINARY - SCIE","10,804",1.184,Q4,0.35,10.16%
76,ACTA CRYSTALLOGRAPHICA SECTION D-BIOLOGICAL CRYSTALLOGRAPHY,ACTA CRYSTALLOGR D,0907-4449,2059-7983,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"2,420",2.244,Q2,,
77,ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY,ACTA CRYSTALLOGR D,2059-7983,2059-7983,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"23,006",5.699,Q2,1.67,57.87%
79,ACTA CRYSTALLOGRAPHICA SECTION F-STRUCTURAL BIOLOGY COMMUNICATIONS,ACTA CRYSTALLOGR F,,2053-230X,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"2,229",1.072,Q4,0.28,24.90%
81,ACTA DERMATO-VENEREOLOGICA,ACTA DERM-VENEREOL,0001-5555,1651-2057,DERMATOLOGY - SCIE,"8,242",3.875,Q2,1.11,100%
82,ACTA DERMATOVENEROLOGICA ALPINA PANNONICA ET ADRIATICA,ACTA DERMATOVEN ALP,1318-4458,1581-2979,DERMATOLOGY - ESCI,448,,,0.32,0%
83,ACTA DERMATOVENEROLOGICA CROATICA,ACTA DERMATOVENER CR,1330-027X,1847-6538,DERMATOLOGY - SCIE,573,1.444,Q4,0.26,0%
